2.497  0.5693  0.05654
1.993  0.1171  0.2557
1.762  0.06069  0.4792
0.9609  0.7987  0.001321
1.887  0.02599  0.3482
1.204  0.1286  2.477
1.002  0.1801  4.769
1.09  0.06862  3.875
2.478  0.3137  0.07243
2.222  0.686  0.08329
2.395  0.4899  0.07613
0.6147  0.7425  0.001527
1.211  0.07109  2.518
1.691  0.728  0.1179
2.124  0.389  0.1541
0.7544  0.4727  0.02774
1.526  0.06469  0.9308
0.7771  0.3298  3.551
0.6553  0.673  0.002783
0.8871  0.3089  4.456
1.59  0.1004  0.7593
1.969  0.6661  0.137
0.9221  0.5826  0.01047
0.621  0.08311  30.43
0.8839  0.297  4.849
1.302  0.3772  1.219
2.049  0.7244  0.1012
1.05  0.05022  4.547
1.833  0.4204  0.2975
2.004  0.345  0.2134
0.7184  0.7548  0.001498
2.19  0.6848  0.0887
1.64  0.4944  0.4073
1.599  0.4798  0.4614
1.22  0.273  1.952
0.8958  0.3722  2.332
0.8868  0.2442  6.165
0.7702  0.2569  8.299
1.5  0.6012  0.3144
2.298  0.7386  0.06514
2.  0.3884  0.2068
0.5449  0.5148  0.01087
2.437  0.2555  0.08237
1.866  0.7041  0.1375
0.9043  0.1704  7.036
2.479  0.5536  0.05971
2.288  0.2522  0.1161
1.568  0.3557  0.6356
0.7885  0.1696  11.26
0.6342  0.5746  0.006681
1.649  0.4236  0.4632
1.866  0.06504  0.3627
2.396  0.3027  0.08776
2.494  0.224  0.07375
1.563  0.07103  0.8325
0.7719  0.1628  12.31
2.397  0.3303  0.08602
1.614  0.383  0.5409
1.048  0.07379  4.518
0.9113  0.2986  4.498
2.238  0.01634  0.1469
2.385  0.5172  0.07574
1.032  0.604  0.01113
0.8521  0.6607  0.003918
1.089  0.2326  3.202
1.592  0.6079  0.2881
1.095  0.6043  0.01436
1.802  0.4239  0.3193
2.34  0.2723  0.1017
0.5021  0.05126  65.63
0.5717  0.4999  0.01322
1.993  0.1474  0.2518
0.737  0.5652  0.008556
2.424  0.6179  0.06226
0.6289  0.3586  0.1175
1.4  0.3392  1.026
2.389  0.57  0.07096
0.6395  0.2219  15.28
1.007  0.6059  0.009979
1.379  0.3692  1.02
1.431  0.7481  0.007435
1.101  0.04607  3.769
1.561  0.2454  0.7417
1.669  0.3112  0.5153
1.822  0.7655  0.09614
